id,company_id,category_id,name,slug,description,price,duration_minutes,image,is_active,sort_order,created_at,updated_at,deleted_at,advertisement_id,duration_unit,service_type
1,1,1,"Стрижка и укладка",haircut-styling,"Профессиональная стрижка и укладка волос",1200,60,,1,1,"2025-11-23 06:00:28","2025-11-23 06:00:28",,,hours,onsite
2,1,1,"Окрашивание волос",hair-coloring,"Полное окрашивание волос с тонированием",3500,180,,1,2,"2025-11-23 06:00:28","2025-11-23 06:00:28",,,hours,onsite
3,1,2,"Маникюр премиум",premium-manicure,"Премиальный маникюр с покрытием гель-лак",800,90,,1,3,"2025-11-23 06:00:28","2025-11-23 06:00:28",,,hours,onsite
4,2,5,"Классическая стрижка",classic-haircut,"Классическая мужская стрижка",800,45,,1,1,"2025-11-23 06:00:28","2025-11-23 06:00:28",,,hours,onsite
5,2,5,"Стрижка + Борода",haircut-beard,"Стрижка волос и оформление бороды",1200,60,,1,2,"2025-11-23 06:00:28","2025-11-23 06:00:28",,,hours,onsite
6,3,1,"Генеральная уборка квартиры",service-5-1763950781217,"Полная уборка всех помещений: мытье полов, пылесос, чистка сантехники, вытирание пыли, мытье окон. Идеально для переезда или после ремонта.",150,180,,1,1,"2025-11-25 16:19:30","2025-11-26 22:13:55","2025-11-26 22:13:55",,hours,onsite
8,7,,Консультация,,"Юридическая консультация",499,1,,1,0,"2025-12-24 16:06:43","2025-12-24 16:06:43",,,hours,onsite
9,8,,Стандарт,,Клининг,120,2,,1,0,"2025-12-25 19:51:31","2025-12-25 19:51:31",,,hours,onsite
10,8,,"Дип (2/2)",,Все,200,5,,1,0,"2025-12-25 20:09:31","2025-12-25 20:09:31",,,hours,onsite
11,3,,123,,,10,60,,1,0,"2025-12-26 20:26:22","2025-12-26 20:26:22",,,hours,onsite
12,3,,"Массаж общий",,Реклама,120,60,,1,0,"2026-01-09 19:37:42","2026-01-24 23:10:19",,,hours,onsite
13,3,,"Массаж лечебный",,"Лечебный массаж для восстановления после травм. Работа с проблемными зонами.",150,90,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
14,3,,SPA-процедуры,,"Комплекс SPA-процедур: скрабирование, обертывание, массаж. Полное расслабление.",180,120,,1,0,"2026-01-09 19:37:42","2026-01-09 19:38:13",,,hours,hybrid
15,3,,"Лимфодренажный массаж",,"Специализированный массаж для улучшения лимфотока и снятия отеков.",140,75,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
16,3,,"Ремонт квартиры",,"Полный ремонт квартиры: демонтаж, отделка, покраска, установка сантехники и электрики.",5000,1440,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
17,3,,"Электромонтажные работы",,"Установка розеток, выключателей, прокладка проводов. Лицензированный электрик.",200,120,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
18,3,,"Сантехнические работы",,"Установка и ремонт сантехники, прочистка засоров, замена труб. Гарантия.",150,90,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
19,3,,"Покраска стен",,"Профессиональная покраска стен и потолков. Подготовка поверхностей, грунтовка, покраска.",300,180,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
20,3,,"Уход за газоном",,"Стрижка газона, полив, удобрение, аэрация. Регулярное обслуживание.",80,90,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
21,3,,"Ландшафтный дизайн",,"Проектирование и создание ландшафтного дизайна. Озеленение, дорожки, освещение.",2000,480,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
22,3,,"Посадка растений",,"Посадка деревьев, кустарников, цветов. Подбор растений под климат.",150,120,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
23,3,,"Сезонные работы",,"Подготовка к зиме, весенняя уборка, обрезка деревьев и кустарников.",200,180,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
24,3,,"Свадебная фотосъемка",,"Полный день свадебной съемки. Церемония, банкет, подготовка. Обработка всех фото.",1200,480,,1,0,"2026-01-09 19:37:42","2026-01-09 19:37:42",,,hours,onsite
